Char,Unicode (hex),Decimal,Learning Order
íA,U+4F46,20294,7
à ,U+4F4D,20301,4
í·,U+4F4E,20302,4
èZ,U+4F4F,20303,3
ç≤,U+4F50,20304,7
ëÃ,U+4F53,20307,2
âΩ,U+4F55,20309,2
ó],U+4F59,20313,5
çÏ,U+4F5C,20316,2
â¿,U+4F73,20339,7
ïπ,U+4F75,20341,7
ég,U+4F7F,20351,3
ó·,U+4F8B,20363,4
éò,U+4F8D,20365,7
ãü,U+4F9B,20379,6
àÀ,U+4F9D,20381,7
âø,U+4FA1,20385,5
ïé,U+4FAE,20398,7
åÚ,U+4FAF,20399,7
êN,U+4FB5,20405,7
ï÷,U+4FBF,20415,4
åW,U+4FC2,20418,3
ë£,U+4FC3,20419,7
èr,U+4FCA,20426,7
ë≠,U+4FD7,20439,7
ï€,U+4FDD,20445,5
êM,U+4FE1,20449,4
èC,U+4FEE,20462,5
îo,U+4FF3,20467,6
ïU,U+4FF5,20469,5
ïÓ,U+4FF8,20472,7
ëq,U+5009,20489,4
å¬,U+500B,20491,5
î{,U+500D,20493,3
ì|,U+5012,20498,7
åÛ,U+5019,20505,4
éÿ,U+501F,20511,4
ïÌ,U+5023,20515,7
íl,U+5024,20516,6
óœ,U+502B,20523,7
åê,U+5039,20537,7
àÃ,U+5049,20553,7
ïŒ,U+504F,20559,7
í‚,U+505C,20572,4
åí,U+5065,20581,4
ë§,U+5074,20596,4
í„,U+5075,20597,7
ãÙ,U+5076,20598,7
ãU,U+507D,20605,7
ñT,U+508D,20621,7
åÜ,U+5091,20625,7
éP,U+5098,20632,7
îı,U+5099,20633,5
ç√,U+50AC,20652,7
ç¬,U+50B5,20661,7
èù,U+50B7,20663,6
åX,U+50BE,20670,7
ì≠,U+50CD,20685,4
ëú,U+50CF,20687,5
ñl,U+50D5,20693,7
óª,U+50DA,20698,7
ëm,U+50E7,20711,7
ãV,U+5100,20736,7
â≠,U+5104,20740,4
éÚ,U+5112,20754,7
èû,U+511F,20767,7
óD,U+512A,20778,6
å≥,U+5143,20803,2
åZ,U+5144,20804,2
è[,U+5145,20805,7
íõ,U+5146,20806,4
êÊ,U+5148,20808,1
åı,U+5149,20809,2
çé,U+514B,20811,7
ñ∆,U+514D,20813,7
éô,U+5150,20816,4
ì},U+515A,20826,6
ì¸,U+5165,20837,1
ëS,U+5168,20840,3
î™,U+516B,20843,1
åˆ,U+516C,20844,2
òZ,U+516D,20845,1
ã§,U+5171,20849,4
ï∫,U+5175,20853,4
ãÔ,U+5177,20855,3
ìT,U+5178,20856,4
åì,U+517C,20860,7
ì‡,U+5185,20869,2
â~,U+5186,20870,1
ç˚,U+518A,20874,6
çƒ,U+518D,20877,5
ñ`,U+5192,20882,7
èÁ,U+5197,20887,7
é ,U+5199,20889,3
ä•,U+51A0,20896,7
ì~,U+51AC,20908,2
ó‚,U+51B7,20919,4
èy,U+51C6,20934,7
ìÄ,U+51CD,20941,7
ã√,U+51DD,20957,7
ñ},U+51E1,20961,7
èà,U+51E6,20966,6
ã•,U+51F6,20982,7
ì ,U+51F8,20984,7
âö,U+51F9,20985,7
èo,U+51FA,20986,1
ìÅ,U+5200,20992,2
ên,U+5203,20995,7
ï™,U+5206,20998,2
êÿ,U+5207,20999,2
ä†,U+5208,21000,7
äß,U+520A,21002,5
åY,U+5211,21009,7
óÒ,U+5217,21015,3
èâ,U+521D,21021,4
îª,U+5224,21028,5
ï ,U+5225,21029,4
óò,U+5229,21033,4
ìû,U+5230,21040,7
êß,U+5236,21046,5
ç¸,U+5237,21047,4
åî,U+5238,21048,5
éh,U+523A,21050,7
çè,U+523B,21051,6
ë•,U+5247,21063,5
çÌ,U+524A,21066,7
ëO,U+524D,21069,2
ñU,U+5256,21078,7
çÑ,U+525B,21083,7
åï,U+5263,21091,7
ç‹,U+5264,21092,7
ïõ,U+526F,21103,4
èË,U+5270,21104,7
äÑ,U+5272,21106,6
ën,U+5275,21109,6
åÄ,U+5287,21127,6
óÕ,U+529B,21147,1
å˜,U+529F,21151,4
â¡,U+52A0,21152,4
óÚ,U+52A3,21155,7
èï,U+52A9,21161,3
ìw,U+52AA,21162,4
ó„,U+52B1,21169,7
òJ,U+52B4,21172,4
å¯,U+52B9,21177,5
äN,U+52BE,21182,7
í∫,U+52C5,21189,7
óE,U+52C7,21191,4
ï◊,U+52C9,21193,3
ìÆ,U+52D5,21205,3
ä®,U+52D8,21208,7
ñ±,U+52D9,21209,5
èü,U+52DD,21213,3
ïÂ,U+52DF,21215,7
ê®,U+52E2,21218,5
ãŒ,U+52E4,21220,6
ä©,U+52E7,21223,7
åM,U+52F2,21234,7
éŸ,U+52FA,21242,7
ñÊ,U+5301,21249,7
ïÔ,U+5305,21253,4
âª,U+5316,21270,3
ñk,U+5317,21271,2
è†,U+5320,21280,7
ïC,U+5339,21305,7
ãÊ,U+533A,21306,3
à„,U+533B,21307,3
ìΩ,U+533F,21311,7
è\,U+5341,21313,1
êÁ,U+5343,21315,1
è°,U+5347,21319,7
åﬂ,U+5348,21320,2
îº,U+534A,21322,2
î⁄,U+5351,21329,7
ë≤,U+5352,21330,4
ëÏ,U+5353,21331,7
ã¶,U+5354,21332,4
ìÏ,U+5357,21335,2
íP,U+5358,21336,4
îé,U+535A,21338,4
êË,U+5360,21344,7
àÛ,U+5370,21360,4
äÎ,U+5371,21361,6
ë¶,U+5373,21363,7
ãp,U+5374,21364,7
óë,U+5375,21365,6
âµ,U+5378,21368,7
ñÔ,U+5384,21380,7
ó–,U+5398,21400,7
å˙,U+539A,21402,5
å¥,U+539F,21407,2
åµ,U+53B3,21427,6
ãé,U+53BB,21435,3
éQ,U+53C2,21442,4
ñî,U+53C8,21448,7
ãy,U+53CA,21450,7
óF,U+53CB,21451,2
ëo,U+53CC,21452,7
îΩ,U+53CD,21453,3
é˚,U+53CE,21454,6
èf,U+53D4,21460,7
éÊ,U+53D6,21462,3
éÛ,U+53D7,21463,3
èñ,U+53D9,21465,7
å˚,U+53E3,21475,1
å√,U+53E4,21476,2
ãÂ,U+53E5,21477,5
ã©,U+53EB,21483,7
è¢,U+53EC,21484,7
â¬,U+53EF,21487,5
ë‰,U+53F0,21488,2
éj,U+53F2,21490,4
âE,U+53F3,21491,1
çÜ,U+53F7,21495,3
éi,U+53F8,21496,4
äe,U+5404,21508,4
çá,U+5408,21512,2
ãg,U+5409,21513,7
ìØ,U+540C,21516,2
ñº,U+540D,21517,1
ç@,U+540E,21518,6
óô,U+540F,21519,7
ìf,U+5410,21520,7
å¸,U+5411,21521,3
åN,U+541B,21531,3
ã·,U+541F,21535,7
î€,U+5426,21542,6
ä‹,U+542B,21547,7
ãz,U+5438,21560,6
êÅ,U+5439,21561,7
íÊ,U+5448,21576,7
å‡,U+5449,21577,7
çê,U+544A,21578,4
é¸,U+5468,21608,4
ñ°,U+5473,21619,3
åƒ,U+547C,21628,6
ñΩ,U+547D,21629,3
òa,U+548C,21644,3
çÁ,U+54B2,21682,7
à£,U+54C0,21696,7
ïi,U+54C1,21697,3
àı,U+54E1,21729,3
ìN,U+54F2,21746,7
ç¥,U+5506,21766,7
êO,U+5507,21767,7
ìÇ,U+5510,21776,7
óB,U+552F,21807,7
è•,U+5531,21809,4
è§,U+5546,21830,3
ñ‚,U+554F,21839,3
å[,U+5553,21843,7
ëP,U+5584,21892,6
ä´,U+559A,21914,7
äÏ,U+559C,21916,4
äÖ,U+559D,21917,7
ër,U+55AA,21930,7
ãi,U+55AB,21931,7
âc,U+55B6,21942,5
ék,U+55E3,21987,7
íQ,U+5606,22022,7
è˙,U+5631,22065,7
äÌ,U+5668,22120,4
ï¨,U+5674,22132,7
äd,U+5687,22151,7
é˙,U+56DA,22234,7
él,U+56DB,22235,1
âÒ,U+56DE,22238,2
àˆ,U+56E0,22240,5
íc,U+56E3,22243,5
ç¢,U+56F0,22256,6
àÕ,U+56F2,22258,4
ê},U+56F3,22259,2
å≈,U+56FA,22266,4
çë,U+56FD,22269,2
åó,U+570F,22287,7
âÄ,U+5712,22290,2
ìy,U+571F,22303,1
à≥,U+5727,22311,5
ç›,U+5728,22312,5
ín,U+5730,22320,2
ç‚,U+5742,22338,3
ãœ,U+5747,22343,5
ñV,U+574A,22346,7
çB,U+5751,22353,7
íÿ,U+576A,22378,7
êÇ,U+5782,22402,6
å^,U+578B,22411,4
ä_,U+57A3,22435,7
ñÑ,U+57CB,22475,7
èÈ,U+57CE,22478,6
àÊ,U+57DF,22495,6
é∑,U+57F7,22519,7
î|,U+57F9,22521,7
äÓ,U+57FA,22522,5
ñx,U+5800,22528,7
ì∞,U+5802,22530,4
åò,U+5805,22533,7
ë¬,U+5815,22549,7
íÁ,U+5824,22564,7
ä¨,U+582A,22570,7
ïÒ,U+5831,22577,5
èÍ,U+5834,22580,2
ïª,U+5840,22592,7
ó€,U+5841,22593,7
âÚ,U+584A,22602,7
ëY,U+5851,22609,7
ìÉ,U+5854,22612,7
ìh,U+5857,22615,7
íÀ,U+585A,22618,7
âñ,U+5869,22633,4
èm,U+587E,22654,7
ã´,U+5883,22659,5
ïÊ,U+5893,22675,5
ëù,U+5897,22679,5
íƒ,U+589C,22684,7
ñn,U+58A8,22696,7
ï≠,U+58B3,22707,7
ç§,U+58BE,22718,7
ï«,U+58C1,22721,7
íd,U+58C7,22727,7
âÛ,U+58CA,22730,7
èÎ,U+58CC,22732,7
ém,U+58EB,22763,4
ës,U+58EE,22766,7
ê∫,U+58F0,22768,2
àÎ,U+58F1,22769,7
îÑ,U+58F2,22770,2
ïœ,U+5909,22793,4
âƒ,U+590F,22799,2
ó[,U+5915,22805,1
äO,U+5916,22806,2
ëΩ,U+591A,22810,2
ñÈ,U+591C,22812,2
ñ≤,U+5922,22818,5
ëÂ,U+5927,22823,1
ìV,U+5929,22825,1
ëæ,U+592A,22826,2
ïv,U+592B,22827,4
âõ,U+592E,22830,3
é∏,U+5931,22833,4
äÔ,U+5947,22855,7
ïÚ,U+5949,22857,7
ët,U+594F,22863,6
å_,U+5951,22865,7
ñz,U+5954,22868,7
âú,U+5965,22885,7
èß,U+5968,22888,7
íD,U+596A,22890,7
ï±,U+596E,22894,6
èó,U+5973,22899,1
ìz,U+5974,22900,7
çD,U+597D,22909,4
î@,U+5982,22914,7
î‹,U+5983,22915,7
ñœ,U+5984,22916,7
îD,U+598A,22922,7
ñ≠,U+5999,22937,7
ë√,U+59A5,22949,7
ñW,U+59A8,22952,7
ñÖ,U+59B9,22969,2
ç»,U+59BB,22971,5
éo,U+59C9,22985,2
én,U+59CB,22987,3
ê©,U+59D3,22995,7
àœ,U+59D4,22996,3
ïP,U+59EB,23019,7
à˜,U+59FB,23035,7
ép,U+59FF,23039,6
à–,U+5A01,23041,7
ñ∫,U+5A18,23064,7
êP,U+5A20,23072,7
å‚,U+5A2F,23087,7
îk,U+5A46,23110,7
ç•,U+5A5A,23130,7
ïw,U+5A66,23142,5
ñπ,U+5A7F,23167,7
î},U+5A92,23186,7
â≈,U+5AC1,23233,7
åô,U+5ACC,23244,7
íÑ,U+5AE1,23265,7
èÏ,U+5B22,23330,7
éq,U+5B50,23376,1
çE,U+5B54,23380,7
éö,U+5B57,23383,1
ë∂,U+5B58,23384,6
çF,U+5B5D,23389,6
ãG,U+5B63,23395,4
å«,U+5B64,23396,7
äw,U+5B66,23398,1
ë∑,U+5B6B,23403,4
ëÓ,U+5B85,23429,6
âF,U+5B87,23431,6
éÁ,U+5B88,23432,3
à¿,U+5B89,23433,3
äÆ,U+5B8C,23436,4
è@,U+5B97,23447,6
äØ,U+5B98,23448,4
íà,U+5B99,23449,6
íË,U+5B9A,23450,3
ãX,U+5B9C,23452,7
ïÛ,U+5B9D,23453,6
é¿,U+5B9F,23455,3
ãq,U+5BA2,23458,3
êÈ,U+5BA3,23459,6
é∫,U+5BA4,23460,2
ã{,U+5BAE,23470,3
ç…,U+5BB0,23472,7
äQ,U+5BB3,23475,4
âÉ,U+5BB4,23476,7
è™,U+5BB5,23477,7
â∆,U+5BB6,23478,2
óe,U+5BB9,23481,5
èh,U+5BBF,23487,3
é‚,U+5BC2,23490,7
äÒ,U+5BC4,23492,5
ñß,U+5BC6,23494,6
ïx,U+5BCC,23500,5
ä¶,U+5BD2,23506,3
ä∞,U+5BDB,23515,7
êQ,U+5BDD,23517,7
é@,U+5BDF,23519,4
â«,U+5BE1,23521,7
îJ,U+5BE7,23527,7
êR,U+5BE9,23529,7
óæ,U+5BEE,23534,7
ê°,U+5BF8,23544,6
éõ,U+5BFA,23546,2
ëŒ,U+5BFE,23550,3
éı,U+5BFF,23551,7
ïï,U+5C01,23553,7
êÍ,U+5C02,23554,6
éÀ,U+5C04,23556,6
è´,U+5C06,23558,6
à—,U+5C09,23561,7
ë∏,U+5C0A,23562,6
êq,U+5C0B,23563,7
ì±,U+5C0E,23566,5
è¨,U+5C0F,23567,1
è≠,U+5C11,23569,2
èÆ,U+5C1A,23578,7
èA,U+5C31,23601,6
é⁄,U+5C3A,23610,6
ìÚ,U+5C3C,23612,7
ês,U+5C3D,23613,7
îˆ,U+5C3E,23614,7
îA,U+5C3F,23615,7
ã«,U+5C40,23616,3
ãè,U+5C45,23621,5
ã¸,U+5C48,23624,7
ìÕ,U+5C4A,23626,6
âÆ,U+5C4B,23627,3
ìW,U+5C55,23637,6
ëÆ,U+5C5E,23646,5
ëw,U+5C64,23652,6
óö,U+5C65,23653,7
ì‘,U+5C6F,23663,7
éR,U+5C71,23665,1
äÚ,U+5C90,23696,7
ä‚,U+5CA9,23721,2
ñ¶,U+5CAC,23724,7
äx,U+5CB3,23731,7
ä›,U+5CB8,23736,3
ìª,U+5CE0,23776,7
ã¨,U+5CE1,23777,7
ïÙ,U+5CF0,23792,7
ìá,U+5CF6,23798,3
êí,U+5D07,23815,7
çË,U+5D0E,23822,7
ïˆ,U+5D29,23849,7
êÏ,U+5DDD,24029,1
èB,U+5DDE,24030,3
èÑ,U+5DE1,24033,7
ëÉ,U+5DE3,24035,4
çH,U+5DE5,24037,2
ç∂,U+5DE6,24038,1
çI,U+5DE7,24039,7
ãê,U+5DE8,24040,7
ç∑,U+5DEE,24046,4
å»,U+5DF1,24049,6
ä™,U+5DFB,24059,6
és,U+5E02,24066,2
ïz,U+5E03,24067,5
îø,U+5E06,24070,7
äÛ,U+5E0C,24076,4
íÈ,U+5E1D,24093,7
êÉ,U+5E25,24101,7
ét,U+5E2B,24107,5
ê»,U+5E2D,24109,4
ë—,U+5E2F,24111,4
ãA,U+5E30,24112,2
í†,U+5E33,24115,3
èÌ,U+5E38,24120,5
ñX,U+5E3D,24125,7
ïù,U+5E45,24133,7
ñã,U+5E55,24149,6
ïº,U+5E63,24163,7
ä±,U+5E72,24178,6
ïΩ,U+5E73,24179,3
îN,U+5E74,24180,1
çK,U+5E78,24184,3
ä≤,U+5E79,24185,5
å∂,U+5E7B,24187,7
óc,U+5E7C,24188,6
óH,U+5E7D,24189,7
äÙ,U+5E7E,24190,7
í°,U+5E81,24193,6
çL,U+5E83,24195,2
è∞,U+5E8A,24202,7
èò,U+5E8F,24207,5
íÍ,U+5E95,24213,4
ìX,U+5E97,24215,2
ï{,U+5E9C,24220,4
ìx,U+5EA6,24230,3
ç¿,U+5EA7,24231,6
å…,U+5EAB,24235,3
íÎ,U+5EAD,24237,3
èé,U+5EB6,24246,7
çN,U+5EB7,24247,4
óf,U+5EB8,24248,7
îp,U+5EC3,24259,7
óı,U+5EC9,24265,7
òL,U+5ECA,24266,7
âÑ,U+5EF6,24310,6
íÏ,U+5EF7,24311,7
åö,U+5EFA,24314,4
ïŸ,U+5F01,24321,5
ïæ,U+5F0A,24330,7
éÆ,U+5F0F,24335,3
ìÛ,U+5F10,24336,7
ã|,U+5F13,24339,2
í¢,U+5F14,24340,7
à¯,U+5F15,24341,2
íÌ,U+5F1F,24351,2
å∑,U+5F26,24358,7
å ,U+5F27,24359,7
é„,U+5F31,24369,2
í£,U+5F35,24373,5
ã≠,U+5F37,24375,2
íe,U+5F3E,24382,7
ìñ,U+5F53,24403,2
å`,U+5F62,24418,2
ç ,U+5F69,24425,7
í§,U+5F6B,24427,7
è≤,U+5F70,24432,7
âe,U+5F71,24433,7
ñ,U+5F79,24441,3
îﬁ,U+5F7C,24444,7
âù,U+5F80,24448,5
ê™,U+5F81,24449,7
åa,U+5F84,24452,4
ë“,U+5F85,24453,3
ó•,U+5F8B,24459,6
å„,U+5F8C,24460,2
èô,U+5F90,24464,7
ìk,U+5F92,24466,4
è],U+5F93,24467,6
ìæ,U+5F97,24471,4
å‰,U+5FA1,24481,7
ïú,U+5FA9,24489,5
èz,U+5FAA,24490,7
î˜,U+5FAE,24494,7
ìø,U+5FB3,24499,5
í•,U+5FB4,24500,7
ìO,U+5FB9,24505,7
êS,U+5FC3,24515,2
ïK,U+5FC5,24517,4
äı,U+5FCC,24524,7
îE,U+5FCD,24525,7
éu,U+5FD7,24535,5
ñY,U+5FD8,24536,6
ñZ,U+5FD9,24537,7
âû,U+5FDC,24540,5
íâ,U+5FE0,24544,6
âı,U+5FEB,24555,5
îO,U+5FF5,24565,4
ì{,U+6012,24594,7
ï|,U+6016,24598,7
év,U+601D,24605,2
ë”,U+6020,24608,7
ã},U+6025,24613,3
ê´,U+6027,24615,5
âˆ,U+602A,24618,7
óˆ,U+604B,24651,7
ã∞,U+6050,24656,7
çP,U+6052,24658,7
íp,U+6065,24677,7
ç¶,U+6068,24680,7
â∂,U+6069,24681,5
ã±,U+606D,24685,7
ëß,U+606F,24687,3
åb,U+6075,24693,7
â˜,U+6094,24724,7
åÂ,U+609F,24735,7
óI,U+60A0,24736,7
ä≥,U+60A3,24739,7
âx,U+60A6,24742,7
îY,U+60A9,24745,7
à´,U+60AA,24746,3
îﬂ,U+60B2,24754,3
ìâ,U+60BC,24764,7
èÓ,U+60C5,24773,5
òf,U+60D1,24785,7
ê…,U+60DC,24796,7
éS,U+60E8,24808,7
ëƒ,U+60F0,24816,7
ëz,U+60F3,24819,3
èD,U+6101,24833,7
ñ˘,U+6109,24841,7
à”,U+610F,24847,3
ã,U+611A,24858,7
à§,U+611B,24859,4
ä¥,U+611F,24863,3
éú,U+6148,24904,7
ë‘,U+614B,24907,5
çQ,U+614C,24908,7
êT,U+614E,24910,7
ïÁ,U+6155,24917,7
ñù,U+6162,24930,7
äµ,U+6163,24931,5
äS,U+6168,24936,7
ó∂,U+616E,24942,7
à‘,U+6170,24944,7
åc,U+6176,24950,7
óJ,U+6182,24962,7
ëû,U+618E,24974,7
ïÆ,U+61A4,24996,7
åe,U+61A9,25001,7
åõ,U+61B2,25010,6
âØ,U+61B6,25014,7
ä∂,U+61BE,25022,7
çß,U+61C7,25031,7
â˘,U+61D0,25040,7
í¶,U+61F2,25074,7
åú,U+61F8,25080,7
ê¨,U+6210,25104,4
â‰,U+6211,25105,6
â˙,U+6212,25106,7
êÌ,U+6226,25126,4
ãY,U+622F,25135,7
åÀ,U+6238,25144,2
ñﬂ,U+623B,25147,7
ñ[,U+623F,25151,7
èä,U+6240,25152,3
êÓ,U+6247,25159,7
î‡,U+6249,25161,7
éË,U+624B,25163,1
çÀ,U+624D,25165,2
ë≈,U+6253,25171,3
ï•,U+6255,25173,7
àµ,U+6271,25201,7
ï},U+6276,25206,7
î·,U+6279,25209,6
è≥,U+627F,25215,5
ãZ,U+6280,25216,5
è¥,U+6284,25220,7
îc,U+628A,25226,7
ó},U+6291,25233,7
ìä,U+6295,25237,3
çR,U+6297,25239,7
ê‹,U+6298,25240,4
î≤,U+629C,25244,7
ë,U+629E,25246,7
î‚,U+62AB,25259,7
ï¯,U+62B1,25265,7
íÔ,U+62B5,25269,7
ñï,U+62B9,25273,7
âü,U+62BC,25276,7
íä,U+62BD,25277,7
íS,U+62C5,25285,6
îè,U+62CD,25293,7
â˚,U+62D0,25296,7
ãë,U+62D2,25298,7
ëÒ,U+62D3,25299,7
çS,U+62D8,25304,7
êŸ,U+62D9,25305,7
èµ,U+62DB,25307,5
îq,U+62DD,25309,6
ãí,U+62E0,25312,7
äg,U+62E1,25313,6
äá,U+62EC,25324,7
çâ,U+62F7,25335,7
èE,U+62FE,25342,3
éù,U+6301,25345,3
éw,U+6307,25351,3
íß,U+6311,25361,7
ãì,U+6319,25369,4
ã≤,U+631F,25375,7
êU,U+632F,25391,7
ë},U+633F,25407,7
ïﬂ,U+6355,25429,7
ë{,U+635C,25436,7
éÃ,U+6368,25448,6
êò,U+636E,25454,7
ë|,U+6383,25475,7
éˆ,U+6388,25480,5
è∂,U+638C,25484,7
îr,U+6392,25490,7
å@,U+6398,25496,7
ä|,U+639B,25499,7
çÃ,U+63A1,25505,5
íT,U+63A2,25506,6
ê⁄,U+63A5,25509,5
çT,U+63A7,25511,7
êÑ,U+63A8,25512,6
ë[,U+63AA,25514,7
åf,U+63B2,25522,7
ï`,U+63CF,25551,7
íÒ,U+63D0,25552,5
óg,U+63DA,25562,7
ä∑,U+63DB,25563,7
à¨,U+63E1,25569,7
äˆ,U+63EE,25582,6
âá,U+63F4,25588,7
óh,U+63FA,25594,7
ëπ,U+640D,25613,5
î¿,U+642C,25644,7
ìã,U+642D,25645,7
åg,U+643A,25658,7
çÔ,U+643E,25662,7
ê€,U+6442,25666,7
ìE,U+6458,25688,7
ñÄ,U+6469,25705,7
åÇ,U+6483,25731,7
ìP,U+64A4,25764,7
éB,U+64AE,25774,7
ño,U+64B2,25778,7
ói,U+64C1,25793,7
ëÄ,U+64CD,25805,6
éC,U+64E6,25830,7
ã[,U+64EC,25836,7
éx,U+652F,25903,5
â¸,U+6539,25913,4
çU,U+653B,25915,7
ï˙,U+653E,25918,3
ê≠,U+653F,25919,5
åÃ,U+6545,25925,5
ïq,U+654F,25935,7
ã~,U+6551,25937,4
îs,U+6557,25943,4
ã≥,U+6559,25945,2
ä∏,U+6562,25954,7
éU,U+6563,25955,4
åh,U+656C,25964,6
êî,U+6570,25968,2
êÆ,U+6574,25972,3
ìG,U+6575,25973,5
ï~,U+6577,25975,7
ï∂,U+6587,25991,1
êƒ,U+6589,25993,7
ç÷,U+658E,25998,7
ìl,U+6597,26007,7
óø,U+6599,26009,4
éŒ,U+659C,26012,7
ã“,U+65A4,26020,7
êÀ,U+65A5,26021,7
íf,U+65AD,26029,5
êV,U+65B0,26032,2
ï˚,U+65B9,26041,2
é{,U+65BD,26045,7
ó∑,U+65C5,26053,3
ê˘,U+65CB,26059,7
ë∞,U+65CF,26063,3
ä¯,U+65D7,26071,4
ä˘,U+65E2,26082,7
ì˙,U+65E5,26085,1
ãå,U+65E7,26087,5
é|,U+65E8,26088,7
ëÅ,U+65E9,26089,1
è{,U+65EC,26092,7
ç©,U+6606,26118,7
è∏,U+6607,26119,7
ñæ,U+660E,26126,2
à’,U+6613,26131,5
êÃ,U+6614,26132,3
êØ,U+661F,26143,2
âf,U+6620,26144,6
èt,U+6625,26149,2
ç,U+6628,26152,4
è∫,U+662D,26157,3
ê•,U+662F,26159,7
íã,U+663C,26172,2
éû,U+6642,26178,2
î”,U+6669,26217,6
ïÅ,U+666E,26222,7
åi,U+666F,26223,4
ê∞,U+6674,26228,2
èª,U+6676,26230,7
ã≈,U+6681,26241,7
â…,U+6687,26247,7
èã,U+6691,26257,3
íg,U+6696,26262,6
à√,U+6697,26263,3
óÔ,U+66A6,26278,7
éb,U+66AB,26283,7
ïÈ,U+66AE,26286,6
ñ\,U+66B4,26292,5
ì‹,U+66C7,26311,7
ój,U+66DC,26332,2
ã»,U+66F2,26354,3
çX,U+66F4,26356,7
èë,U+66F8,26360,2
ëÇ,U+66F9,26361,7
ë÷,U+66FF,26367,7
ç≈,U+6700,26368,4
åé,U+6708,26376,1
óL,U+6709,26377,3
ïû,U+670D,26381,3
íΩ,U+6715,26389,7
òN,U+6717,26391,6
ñ],U+671B,26395,4
í©,U+671D,26397,2
ä˙,U+671F,26399,3
ñÿ,U+6728,26408,1
ñ¢,U+672A,26410,4
ññ,U+672B,26411,4
ñ{,U+672C,26412,1
éD,U+672D,26413,4
éÈ,U+6731,26417,7
ñp,U+6734,26420,7
ä˜,U+673A,26426,6
ãÄ,U+673D,26429,7
êô,U+6749,26441,7
çﬁ,U+6750,26448,4
ë∫,U+6751,26449,1
ë©,U+675F,26463,4
è,U+6761,26465,5
óà,U+6765,26469,2
ît,U+676F,26479,7
ìå,U+6771,26481,2
èº,U+677E,26494,4
î¬,U+677F,26495,3
êÕ,U+6790,26512,7
ó—,U+6797,26519,1
ñá,U+679A,26522,6
â ,U+679C,26524,4
é},U+679D,26525,5
òg,U+67A0,26528,7
êï,U+67A2,26530,7
åÕ,U+67AF,26543,7
âÀ,U+67B6,26550,7
ïø,U+67C4,26564,7
ñ^,U+67D0,26576,7
êı,U+67D3,26579,6
è_,U+67D4,26580,7
íå,U+67F1,26609,3
ñˆ,U+67F3,26611,7
ç∏,U+67FB,26619,5
âh,U+6804,26628,4
ê,U+6813,26643,7
çZ,U+6821,26657,1
äî,U+682A,26666,6
äj,U+6838,26680,7
ç™,U+6839,26681,3
äi,U+683C,26684,5
çÕ,U+683D,26685,7
ìç,U+6843,26691,7
àƒ,U+6848,26696,4
åK,U+6851,26705,7
ç˜,U+685C,26716,5
éV,U+685F,26719,7
î~,U+6885,26757,4
äB,U+68B0,26800,4
ä¸,U+68C4,26820,7
ä˚,U+68CB,26827,7
ñ_,U+68D2,26834,6
íI,U+68DA,26842,7
ìè,U+68DF,26847,7
êX,U+68EE,26862,1
äª,U+68FA,26874,7
êA,U+690D,26893,3
åü,U+691C,26908,5
ã∆,U+696D,26989,3
